"","gender","weight","height"
"1","F",35.3123827497612,163.495379432412
"2","M",94.4127719954913,172.524941039005
"3","F",80.9748359607194,163.697492677897
"4","F",58.7450972310309,167.488514645431
"5","M",97.9501300626901,175.784014206571
"6","F",57.9695422029394,167.506496673652
"7","M",85.1949930303997,164.427567008195
"8","M",58.6662188768833,161.245738250442
"9","M",84.5085729498976,169.043919823397
"10","F",58.0281613171728,166.335738261472
"11","M",94.1995819725469,166.684870461189
"12","F",56.6363547640875,171.089819679054
"13","M",80.0026159386203,169.46212076894
"14","F",66.4772309852329,167.983947798138
"15","F",70.3526371092347,166.627808719424
"16","F",72.1782191914585,167.458083097347
"17","F",70.8804673998828,165.466436104007
"18","M",73.9370007721729,163.855572634679
"19","F",39.8281698071103,163.8339741758
"20","M",85.8985616740946,167.341388927276
"21","M",105.382864866496,178.790702338081
"22","M",118.419729570324,184.41081871828
"23","M",110.546492618059,180.253631262929
"24","M",91.2522083364549,178.386163273996
"25","M",77.5130896291614,169.601342146959
"26","F",60.4945464762624,158.045439822412
"27","M",86.7663177824725,166.137629758682
"28","M",109.206741046565,185.159762691211
"29","M",100.582596880585,173.85634678259
"30","F",51.0787962035301,168.671074616331
"31","F",67.3886884968695,167.85053227217
"32","F",69.952264124092,167.505529546617
"33","M",109.782075668185,179.276005890404
"34","M",80.9057391743119,163.503544937193
"35","M",89.8618351599657,177.445345399701
"36","M",93.7371056915655,171.229317845402
"37","F",52.0694413881247,155.931447495347
"38","M",91.4629250574005,174.560664939013
"39","M",72.1421289044276,169.591345579404
"40","F",63.7397154011271,170.469961662887
"41","M",65.8427352236683,160.545953769951
"42","M",82.1580796549102,163.164007628959
"43","F",46.6676425010843,161.935270199031
"44","M",67.3339099885883,166.926253567227
"45","M",94.8821637353599,174.92660030657
"46","F",69.3216123235173,164.269074914552
"47","F",67.0875531185512,171.266318537319
"48","F",63.1241992265901,164.47873751376
"49","F",43.9616432367885,153.596857378427
"50","M",92.7680042354887,181.087070256927
"51","F",59.2727875503185,168.39563283713
"52","F",54.5047610862195,165.41225133536
"53","M",106.727367407791,182.324567340588
"54","F",39.2252529356997,162.870091795625
"55","M",54.3188211340149,160.716469275991
"56","M",67.8929264336068,163.513888952072
"57","M",116.263268606537,189.640406118851
"58","F",67.8185815767047,165.865055154127
"59","M",85.5400493937682,178.734389267008
"60","F",57.1682563159388,163.085654261968
"61","M",94.2163908590191,175.414440644562
"62","M",99.5299487168114,184.923543805308
"63","M",78.3734186667115,170.137018266836
"64","M",87.6126860266157,164.94646177357
"65","F",35.8365043630986,154.222433448097
"66","M",42.8629071830167,147.269047952771
"67","F",54.5992880701961,164.173823301093
"68","F",65.2882538331861,170.281638049045
"69","M",85.7452459386262,172.676396344676
"70","M",74.4817246436916,169.195913576619
"71","F",47.5244902876486,164.081167641169
"72","F",31.5314291627795,156.223871144554
"73","F",63.8645905196596,165.700189791161
"74","M",66.4084073531581,162.721063180961
"75","F",61.2914283569953,160.923306553572
"76","F",42.506652372867,160.394248130106
"77","M",92.3161166709795,181.146329160018
"78","M",75.6672925335305,163.914569033687
"79","M",96.8892475323228,180.866086129422
"80","F",61.1390741129773,157.639729959427
"81","F",47.5630177714718,162.574654944371
"82","M",87.2593154616987,178.010025513718
"83","M",77.0014675387012,167.970279019849
"84","M",77.1070473732405,168.774942058298
"85","M",111.409719587006,173.962790972882
"86","F",57.602120399777,160.318281201442
"87","M",73.5313870666387,158.914639811317
"88","F",63.6364841855981,160.10853440679
"89","F",42.9445389577627,157.21867184219
"90","M",104.162627469326,176.690431608436
"91","M",81.3982686415954,154.931303809314
"92","M",103.95882536659,185.891453369552
"93","M",108.386724902029,171.61617080529
"94","F",56.1473707759268,165.048978090112
"95","F",73.0649868639718,168.166221803972
"96","F",54.6323626662116,153.147037692762
"97","M",78.258330055848,165.486083870182
"98","F",45.699909266654,150.733101796143
"99","M",100.597382961257,174.440840159376
"100","F",67.6284226799427,165.608792473863
